Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.31,0.67,0.0,9.0,20.0,385.0,21.0
0.43,0.42,0.12,6.0,23.0,324.0,20.0
0.54,0.42,0.01,7.0,29.0,350.0,17.0
0.19,0.73,0.0,4.0,11.0,518.0,14.0
0.36,0.58,0.0,5.0,11.0,890.0,12.0
0.81,0.18,0.0,6.0,36.0,1536.0,31.0
0.54,0.4,0.02,5.0,33.0,2504.0,26.0
0.32,0.62,0.05,6.0,43.0,1863.0,10.0
0.27,0.69,0.0,4.0,36.0,595.0,14.0
0.11,0.88,0.0,35.0,3.0,1062.0,10.0
0.01,0.96,0.01,20.0,14.0,623.0,24.0
0.0,0.95,0.03,15.0,14.0,2125.0,10.0
0.05,0.9,0.01,19.0,18.0,1953.0,21.0
0.06,0.89,0.01,15.0,8.0,3291.0,13.0
0.04,0.89,0.01,33.0,9.0,1505.0,7.0
0.28,0.67,0.04,9.0,24.0,1555.0,14.0
0.09,0.72,0.08,8.0,26.0,1420.0,27.0
0.0,0.97,0.01,13.0,4.0,469.0,14.0
0.0,0.97,0.0,15.0,18.0,192.0,25.0
0.06,0.89,0.03,7.0,14.0,842.0,16.0
0.04,0.68,0.22,8.0,7.0,435.0,20.0
0.2,0.75,0.0,11.0,17.0,352.0,15.0
0.01,0.89,0.08,10.0,18.0,583.0,16.0
0.12,0.87,0.0,10.0,14.0,663.0,13.0
0.81,0.17,0.0,12.0,17.0,160.0,32.0
0.34,0.64,0.01,16.0,14.0,108.0,21.0
0.09,0.89,0.0,15.0,19.0,75.0,13.0
0.47,0.51,0.0,17.0,25.0,59.0,28.0
0.34,0.65,0.0,14.0,15.0,101.0,22.0
0.11,0.83,0.02,16.0,16.0,54.0,16.0
0.41,0.56,0.0,10.0,8.0,249.0,13.0
0.48,0.46,0.0,21.0,16.0,111.0,36.0
0.5,0.49,0.0,13.0,21.0,168.0,25.0
0.35,0.62,0.0,15.0,13.0,90.0,20.0
0.53,0.46,0.0,8.0,17.0,349.0,24.0
0.51,0.48,0.0,12.0,10.0,111.0,31.0
0.72,0.25,0.01,28.0,10.0,52.0,35.0
