Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.2,0.36,0.03,9.0,0.0,3244.0,9.0
0.11,0.32,0.3,5.0,6.0,2802.0,12.0
0.26,0.39,0.09,9.0,0.0,4194.0,14.0
0.38,0.33,0.15,30.0,0.0,3706.0,12.0
0.3,0.16,0.5,6.0,13.0,5328.0,16.0
0.08,0.19,0.59,9.0,19.0,6394.0,15.0
0.08,0.68,0.0,14.0,0.0,3168.0,3.0
0.17,0.48,0.1,10.0,1.0,3690.0,5.0
0.21,0.54,0.13,7.0,3.0,4924.0,8.0
0.21,0.49,0.09,6.0,18.0,4361.0,7.0
0.2,0.21,0.42,6.0,9.0,3315.0,28.0
0.24,0.2,0.43,6.0,1.0,3053.0,15.0
0.36,0.28,0.23,3.0,1.0,2225.0,13.0
0.53,0.2,0.25,3.0,1.0,4393.0,20.0
0.51,0.17,0.28,2.0,0.0,3881.0,10.0
0.26,0.08,0.62,4.0,0.0,4698.0,22.0
0.21,0.13,0.52,10.0,9.0,4659.0,18.0
0.01,0.83,0.04,10.0,0.0,2223.0,2.0
0.01,0.86,0.0,10.0,2.0,1798.0,2.0
0.15,0.22,0.41,12.0,2.0,3128.0,17.0
0.52,0.42,0.04,6.0,0.0,2318.0,12.0
0.61,0.19,0.16,4.0,0.0,1092.0,14.0
0.15,0.07,0.65,14.0,0.0,5604.0,24.0
0.23,0.05,0.61,4.0,0.0,3462.0,27.0
0.17,0.1,0.42,8.0,0.0,2914.0,19.0
0.29,0.1,0.48,5.0,0.0,4995.0,25.0
0.16,0.08,0.68,5.0,1.0,3166.0,32.0
0.3,0.12,0.41,7.0,0.0,4053.0,8.0
0.22,0.1,0.56,7.0,3.0,3604.0,17.0
0.14,0.54,0.12,5.0,1.0,1903.0,2.0
0.17,0.62,0.06,5.0,2.0,1776.0,12.0
0.14,0.52,0.13,11.0,2.0,1930.0,6.0
0.21,0.43,0.11,9.0,0.0,2635.0,4.0
0.19,0.54,0.11,9.0,1.0,1727.0,3.0
0.33,0.49,0.05,7.0,1.0,2851.0,11.0
0.33,0.13,0.22,6.0,1.0,2974.0,23.0
0.17,0.24,0.33,10.0,3.0,2128.0,12.0
0.24,0.25,0.41,8.0,2.0,2790.0,14.0
0.14,0.11,0.68,10.0,0.0,3884.0,18.0
0.13,0.24,0.54,11.0,0.0,3349.0,16.0
0.32,0.13,0.33,9.0,3.0,3447.0,20.0
0.33,0.2,0.3,10.0,0.0,4378.0,14.0
0.36,0.29,0.27,7.0,10.0,3701.0,22.0
0.27,0.32,0.31,9.0,2.0,3256.0,20.0
0.25,0.29,0.42,6.0,7.0,2689.0,22.0
0.43,0.31,0.16,14.0,3.0,3605.0,15.0
0.17,0.14,0.58,6.0,0.0,3380.0,11.0
0.18,0.44,0.16,6.0,4.0,3498.0,6.0
0.21,0.18,0.43,10.0,0.0,3016.0,22.0
0.17,0.49,0.14,7.0,4.0,2466.0,8.0
0.18,0.56,0.06,7.0,0.0,1962.0,5.0
0.21,0.41,0.21,8.0,0.0,3898.0,10.0
0.18,0.4,0.09,9.0,1.0,3336.0,5.0
0.28,0.25,0.35,7.0,0.0,2050.0,4.0
0.37,0.24,0.23,8.0,0.0,2665.0,3.0
0.08,0.11,0.47,11.0,2.0,2688.0,18.0
0.28,0.26,0.33,5.0,0.0,3118.0,9.0
0.33,0.2,0.27,7.0,2.0,2656.0,16.0
0.32,0.21,0.35,7.0,0.0,3994.0,12.0
0.44,0.13,0.33,7.0,0.0,4762.0,22.0
0.17,0.44,0.18,9.0,0.0,3148.0,4.0
0.32,0.12,0.44,6.0,1.0,3483.0,19.0
0.34,0.34,0.18,13.0,0.0,4124.0,12.0
0.32,0.12,0.46,4.0,1.0,3249.0,21.0
0.46,0.16,0.22,3.0,0.0,6425.0,16.0
0.42,0.36,0.04,6.0,0.0,3012.0,5.0
0.29,0.26,0.19,6.0,0.0,2941.0,9.0
0.44,0.25,0.22,5.0,1.0,2773.0,20.0
0.52,0.27,0.16,4.0,0.0,2239.0,15.0
0.2,0.5,0.11,6.0,4.0,1933.0,6.0
0.24,0.5,0.17,7.0,1.0,2986.0,8.0
0.24,0.4,0.22,9.0,0.0,2512.0,3.0
0.2,0.56,0.12,6.0,0.0,2134.0,7.0
0.22,0.56,0.07,6.0,2.0,2120.0,2.0
0.29,0.51,0.14,5.0,0.0,2395.0,3.0
0.25,0.56,0.13,3.0,4.0,1164.0,8.0
0.18,0.67,0.08,3.0,1.0,2013.0,5.0
0.13,0.68,0.07,5.0,0.0,1878.0,4.0
0.56,0.2,0.16,9.0,3.0,1216.0,15.0
0.19,0.56,0.11,9.0,0.0,1757.0,5.0
0.19,0.55,0.11,7.0,0.0,2468.0,1.0
0.28,0.47,0.04,6.0,2.0,1783.0,10.0
0.19,0.53,0.15,5.0,2.0,2074.0,13.0
0.24,0.53,0.07,6.0,0.0,2823.0,4.0
0.53,0.26,0.18,7.0,0.0,2500.0,11.0
0.22,0.54,0.14,3.0,1.0,2781.0,6.0
0.55,0.32,0.08,9.0,1.0,2314.0,6.0
0.52,0.17,0.19,8.0,2.0,2213.0,12.0
0.62,0.17,0.09,9.0,2.0,2107.0,11.0
0.42,0.42,0.05,3.0,0.0,2501.0,5.0
0.52,0.27,0.14,7.0,0.0,2334.0,7.0
0.29,0.56,0.1,2.0,0.0,1261.0,5.0
0.35,0.5,0.09,4.0,0.0,1904.0,5.0
0.73,0.18,0.02,5.0,0.0,1280.0,4.0
0.52,0.31,0.09,5.0,1.0,2893.0,8.0
0.49,0.27,0.15,4.0,5.0,2067.0,7.0
0.5,0.32,0.12,6.0,2.0,1927.0,8.0
0.01,0.91,0.02,8.0,9.0,261.0,8.0
0.0,0.86,0.03,9.0,8.0,359.0,11.0
0.02,0.94,0.0,10.0,6.0,202.0,6.0
0.03,0.8,0.12,7.0,14.0,673.0,17.0
0.0,0.78,0.13,4.0,11.0,370.0,6.0
0.04,0.79,0.12,6.0,15.0,964.0,20.0
0.08,0.7,0.16,3.0,9.0,884.0,13.0
0.02,0.52,0.41,9.0,14.0,806.0,26.0
0.07,0.79,0.06,4.0,13.0,405.0,15.0
0.02,0.75,0.2,6.0,12.0,534.0,8.0
0.01,0.75,0.21,5.0,9.0,687.0,14.0
0.0,0.96,0.02,5.0,15.0,676.0,7.0
0.02,0.87,0.08,5.0,11.0,527.0,7.0
0.0,0.8,0.15,1.0,4.0,471.0,8.0
0.0,0.96,0.01,2.0,6.0,486.0,5.0
0.03,0.85,0.08,3.0,6.0,362.0,4.0
0.0,0.82,0.14,4.0,6.0,483.0,7.0
0.07,0.7,0.2,4.0,14.0,779.0,3.0
0.1,0.72,0.15,4.0,15.0,969.0,12.0
0.11,0.61,0.22,3.0,17.0,1227.0,11.0
0.28,0.22,0.48,3.0,8.0,603.0,21.0
0.07,0.24,0.67,3.0,12.0,830.0,13.0
0.36,0.16,0.44,6.0,39.0,4053.0,37.0
0.09,0.6,0.26,7.0,37.0,2403.0,16.0
0.03,0.46,0.44,2.0,6.0,949.0,5.0
0.1,0.16,0.71,4.0,13.0,4120.0,41.0
0.09,0.56,0.24,3.0,0.0,1287.0,21.0
0.04,0.04,0.89,7.0,18.0,5919.0,46.0
0.05,0.16,0.7,5.0,10.0,3408.0,26.0
0.04,0.35,0.59,3.0,18.0,1486.0,16.0
0.08,0.3,0.55,3.0,4.0,715.0,26.0
0.07,0.45,0.37,2.0,19.0,1455.0,11.0
0.03,0.77,0.17,3.0,3.0,918.0,10.0
0.03,0.73,0.19,3.0,3.0,907.0,8.0
0.08,0.46,0.38,2.0,6.0,3007.0,13.0
0.11,0.64,0.21,3.0,10.0,2029.0,16.0
0.05,0.87,0.05,2.0,8.0,783.0,8.0
0.02,0.9,0.03,4.0,5.0,728.0,3.0
0.07,0.76,0.1,2.0,0.0,922.0,6.0
0.05,0.78,0.08,1.0,0.0,1551.0,6.0
0.02,0.82,0.12,3.0,0.0,1541.0,6.0
0.1,0.75,0.11,4.0,2.0,2025.0,6.0
0.08,0.68,0.15,3.0,1.0,2464.0,12.0
0.01,0.93,0.01,4.0,0.0,1820.0,4.0
0.54,0.44,0.0,17.0,8.0,122.0,13.0
0.78,0.18,0.01,5.0,21.0,207.0,26.0
0.0,0.98,0.0,9.0,12.0,163.0,16.0
0.02,0.93,0.0,7.0,17.0,252.0,13.0
0.04,0.9,0.02,5.0,8.0,267.0,13.0
0.05,0.9,0.02,6.0,19.0,474.0,15.0
0.08,0.86,0.02,6.0,20.0,457.0,14.0
0.29,0.64,0.02,6.0,19.0,127.0,9.0
0.17,0.76,0.02,5.0,21.0,91.0,17.0
0.11,0.78,0.05,10.0,7.0,124.0,2.0
0.07,0.84,0.04,4.0,3.0,173.0,4.0
0.19,0.76,0.01,5.0,7.0,139.0,5.0
0.02,0.93,0.01,3.0,13.0,903.0,14.0
0.05,0.84,0.08,4.0,12.0,1308.0,9.0
0.17,0.79,0.01,5.0,13.0,1754.0,15.0
0.28,0.61,0.06,3.0,24.0,1474.0,26.0
0.32,0.64,0.01,3.0,19.0,1219.0,8.0
0.12,0.82,0.02,8.0,11.0,132.0,22.0
0.04,0.9,0.0,7.0,20.0,333.0,12.0
0.08,0.8,0.06,7.0,8.0,97.0,6.0
0.6,0.19,0.04,7.0,0.0,1833.0,6.0
0.4,0.39,0.11,5.0,2.0,949.0,12.0
0.75,0.22,0.0,4.0,3.0,691.0,8.0
0.75,0.17,0.05,4.0,5.0,1331.0,14.0
0.4,0.43,0.12,5.0,1.0,805.0,5.0
0.35,0.54,0.07,4.0,6.0,532.0,12.0
0.67,0.12,0.08,6.0,4.0,2291.0,17.0
0.28,0.44,0.2,7.0,3.0,1969.0,20.0
0.62,0.25,0.05,7.0,1.0,2624.0,10.0
0.18,0.69,0.05,4.0,3.0,758.0,1.0
0.24,0.66,0.04,4.0,2.0,690.0,0.0
0.29,0.6,0.02,3.0,5.0,728.0,5.0
0.33,0.47,0.11,5.0,2.0,1075.0,7.0
0.63,0.27,0.03,6.0,6.0,2388.0,13.0
0.49,0.32,0.09,4.0,1.0,1111.0,2.0
0.47,0.3,0.1,4.0,0.0,2159.0,9.0
0.41,0.49,0.05,7.0,3.0,1313.0,2.0
0.55,0.24,0.06,6.0,0.0,2238.0,7.0
0.35,0.61,0.03,11.0,2.0,1295.0,2.0
0.74,0.14,0.05,5.0,0.0,2642.0,18.0
0.14,0.79,0.04,4.0,6.0,441.0,8.0
0.2,0.74,0.05,3.0,4.0,907.0,9.0
0.41,0.45,0.07,5.0,2.0,1210.0,8.0
0.45,0.35,0.16,5.0,3.0,993.0,11.0
0.45,0.49,0.05,3.0,7.0,1056.0,6.0
0.41,0.46,0.08,4.0,3.0,3067.0,16.0
0.27,0.65,0.02,7.0,7.0,1600.0,12.0
0.26,0.62,0.08,5.0,2.0,2557.0,19.0
0.35,0.52,0.04,4.0,0.0,3144.0,5.0
0.3,0.55,0.07,6.0,8.0,3010.0,21.0
0.67,0.19,0.08,3.0,26.0,2988.0,39.0
0.71,0.22,0.02,1.0,48.0,4711.0,45.0
0.2,0.56,0.12,6.0,13.0,1951.0,9.0
0.63,0.26,0.05,2.0,19.0,3431.0,42.0
0.52,0.33,0.06,0.0,25.0,3993.0,10.0
0.36,0.55,0.0,9.0,28.0,2917.0,22.0
0.29,0.57,0.05,8.0,4.0,3229.0,17.0
0.17,0.7,0.07,4.0,5.0,1825.0,7.0
0.29,0.45,0.18,5.0,5.0,3042.0,20.0
0.36,0.45,0.11,8.0,4.0,3239.0,17.0
0.26,0.61,0.07,7.0,0.0,1884.0,16.0
0.18,0.68,0.08,4.0,3.0,1783.0,5.0
0.23,0.59,0.04,2.0,0.0,3029.0,5.0
0.2,0.68,0.03,4.0,4.0,2150.0,4.0
0.34,0.6,0.03,3.0,11.0,2528.0,12.0
0.38,0.56,0.0,6.0,18.0,4062.0,12.0
0.27,0.65,0.04,3.0,5.0,3277.0,9.0
0.26,0.69,0.0,6.0,11.0,2085.0,12.0
0.02,0.92,0.03,5.0,14.0,3685.0,15.0
0.36,0.58,0.04,6.0,33.0,4346.0,26.0
0.01,0.85,0.1,4.0,7.0,959.0,7.0
0.01,0.87,0.03,4.0,4.0,1308.0,8.0
0.06,0.79,0.1,4.0,2.0,949.0,12.0
0.03,0.84,0.06,4.0,10.0,772.0,17.0
0.25,0.61,0.1,5.0,12.0,1072.0,17.0
0.05,0.84,0.04,6.0,22.0,1116.0,15.0
0.0,0.84,0.11,5.0,6.0,950.0,11.0
0.1,0.82,0.05,5.0,11.0,760.0,11.0
0.06,0.81,0.04,5.0,10.0,1235.0,6.0
0.08,0.75,0.1,4.0,12.0,1092.0,10.0
0.02,0.89,0.02,3.0,3.0,854.0,5.0
0.17,0.74,0.08,3.0,13.0,444.0,19.0
0.03,0.87,0.06,21.0,6.0,441.0,12.0
0.26,0.7,0.01,10.0,23.0,269.0,15.0
0.07,0.77,0.15,5.0,21.0,2508.0,27.0
0.28,0.6,0.1,7.0,10.0,1430.0,17.0
0.11,0.86,0.01,7.0,27.0,2508.0,16.0
0.45,0.5,0.02,5.0,18.0,2224.0,31.0
0.23,0.66,0.08,5.0,19.0,2390.0,15.0
0.63,0.34,0.02,5.0,24.0,2097.0,25.0
0.66,0.27,0.05,4.0,30.0,3037.0,18.0
0.3,0.58,0.09,12.0,19.0,2412.0,32.0
0.42,0.47,0.06,14.0,17.0,2326.0,25.0
0.07,0.84,0.06,6.0,19.0,1136.0,25.0
0.51,0.45,0.0,4.0,24.0,1569.0,25.0
0.28,0.69,0.0,5.0,24.0,1823.0,10.0
0.23,0.71,0.01,7.0,0.0,148.0,0.0
0.12,0.78,0.03,10.0,1.0,428.0,15.0
0.39,0.59,0.0,6.0,9.0,638.0,19.0
0.3,0.64,0.02,7.0,8.0,120.0,20.0
0.21,0.73,0.02,5.0,6.0,745.0,10.0
0.14,0.82,0.0,6.0,19.0,350.0,13.0
0.1,0.82,0.02,5.0,11.0,540.0,13.0
0.4,0.55,0.02,4.0,23.0,984.0,21.0
0.4,0.54,0.03,4.0,35.0,564.0,21.0
0.06,0.9,0.02,7.0,22.0,1952.0,26.0
0.28,0.63,0.06,6.0,11.0,2338.0,22.0
0.28,0.65,0.02,7.0,7.0,1667.0,22.0
0.27,0.62,0.02,7.0,2.0,1937.0,19.0
0.29,0.69,0.0,4.0,12.0,1475.0,9.0
0.66,0.32,0.01,8.0,19.0,960.0,16.0
0.54,0.4,0.0,8.0,20.0,2579.0,31.0
0.44,0.54,0.0,4.0,38.0,2099.0,26.0
0.29,0.69,0.0,5.0,14.0,2633.0,16.0
0.2,0.78,0.0,6.0,19.0,2197.0,19.0
0.59,0.36,0.02,7.0,12.0,1939.0,34.0
0.93,0.05,0.0,5.0,19.0,2482.0,55.0
0.26,0.64,0.08,7.0,13.0,1262.0,34.0
0.16,0.67,0.04,7.0,12.0,1340.0,37.0
0.05,0.89,0.03,6.0,23.0,950.0,15.0
0.11,0.8,0.02,5.0,2.0,3652.0,9.0
0.29,0.68,0.01,8.0,15.0,3944.0,17.0
0.24,0.66,0.01,10.0,3.0,3875.0,17.0
0.19,0.72,0.04,13.0,0.0,3029.0,15.0
0.25,0.67,0.01,12.0,1.0,3115.0,6.0
0.24,0.42,0.17,0.0,11.0,317.0,9.0
0.18,0.58,0.16,0.0,15.0,282.0,2.0
0.34,0.38,0.23,0.0,1.0,3380.0,4.0
0.49,0.31,0.1,7.0,5.0,2187.0,18.0
0.61,0.23,0.09,6.0,5.0,961.0,25.0
0.44,0.32,0.1,4.0,4.0,2003.0,11.0
0.32,0.43,0.14,9.0,4.0,842.0,19.0
0.55,0.21,0.17,13.0,3.0,1314.0,20.0
0.49,0.3,0.13,8.0,1.0,1703.0,10.0
0.39,0.38,0.17,14.0,8.0,2294.0,20.0
0.44,0.39,0.09,10.0,5.0,224.0,14.0
0.1,0.84,0.0,37.0,4.0,82.0,15.0
0.33,0.55,0.06,28.0,7.0,203.0,15.0
0.85,0.1,0.02,20.0,5.0,65.0,27.0
,,,,0.0,0.0,
0.38,0.6,0.0,4.0,8.0,331.0,18.0
0.25,0.7,0.02,4.0,10.0,326.0,21.0
0.25,0.51,0.14,9.0,7.0,390.0,15.0
0.23,0.69,0.04,9.0,17.0,142.0,25.0
,,,,0.0,123.0,
0.32,0.54,0.06,3.0,5.0,3172.0,16.0
0.32,0.56,0.05,2.0,4.0,2366.0,16.0
0.14,0.67,0.12,3.0,6.0,1930.0,5.0
0.22,0.63,0.06,7.0,9.0,2150.0,13.0
0.09,0.81,0.04,5.0,7.0,2449.0,5.0
0.13,0.69,0.11,3.0,0.0,1986.0,17.0
0.04,0.83,0.05,3.0,1.0,1314.0,1.0
0.16,0.73,0.09,1.0,27.0,2672.0,18.0
0.77,0.16,0.02,3.0,25.0,3035.0,31.0
0.78,0.16,0.0,2.0,18.0,2537.0,38.0
0.52,0.4,0.04,2.0,0.0,4123.0,33.0
0.32,0.58,0.07,3.0,6.0,1921.0,15.0
0.18,0.74,0.06,11.0,5.0,773.0,21.0
0.88,0.06,0.04,4.0,17.0,2889.0,42.0
0.74,0.17,0.08,1.0,18.0,3708.0,36.0
0.93,0.04,0.01,1.0,23.0,3680.0,52.0
0.24,0.59,0.09,0.0,44.0,2195.0,29.0
0.21,0.7,0.02,2.0,12.0,1798.0,30.0
0.6,0.32,0.03,6.0,9.0,4467.0,61.0
0.58,0.29,0.07,3.0,48.0,4377.0,38.0
0.34,0.52,0.05,2.0,2.0,1499.0,22.0
0.42,0.46,0.1,6.0,31.0,2987.0,28.0
0.24,0.62,0.07,7.0,4.0,1373.0,29.0
0.07,0.85,0.02,6.0,13.0,1696.0,17.0
0.11,0.76,0.07,4.0,9.0,1828.0,19.0
0.01,0.91,0.05,7.0,2.0,390.0,11.0
0.05,0.87,0.02,15.0,5.0,107.0,8.0
0.0,0.92,0.04,7.0,4.0,176.0,13.0
0.02,0.89,0.07,11.0,9.0,147.0,28.0
0.03,0.92,0.02,5.0,9.0,288.0,5.0
0.58,0.25,0.08,3.0,14.0,1168.0,25.0
0.57,0.37,0.0,5.0,9.0,648.0,26.0
0.37,0.6,0.0,4.0,22.0,1015.0,25.0
0.27,0.68,0.01,4.0,18.0,729.0,27.0
0.23,0.74,0.0,38.0,7.0,58.0,9.0
0.46,0.49,0.0,39.0,14.0,49.0,19.0
0.34,0.63,0.0,31.0,17.0,62.0,24.0
,,,0.0,0.0,47.0,
,,,,0.0,0.0,
0.63,0.31,0.03,5.0,23.0,3214.0,26.0
0.48,0.48,0.0,12.0,20.0,2094.0,14.0
0.73,0.22,0.01,8.0,10.0,2117.0,28.0
0.51,0.38,0.08,8.0,13.0,4443.0,25.0
0.03,0.9,0.05,4.0,11.0,990.0,21.0
0.01,0.94,0.0,4.0,16.0,914.0,16.0
0.17,0.77,0.0,5.0,27.0,802.0,23.0
0.17,0.72,0.1,5.0,9.0,1046.0,17.0
0.14,0.74,0.09,6.0,11.0,1074.0,10.0
0.01,0.95,0.0,6.0,25.0,661.0,16.0
0.04,0.83,0.06,6.0,4.0,867.0,16.0
0.58,0.33,0.08,3.0,14.0,940.0,16.0
0.39,0.55,0.02,6.0,39.0,355.0,19.0
0.35,0.59,0.03,4.0,24.0,229.0,26.0
0.26,0.69,0.02,5.0,9.0,178.0,20.0
0.67,0.31,0.0,3.0,19.0,286.0,27.0
0.2,0.77,0.0,13.0,18.0,6345.0,26.0
0.44,0.53,0.0,7.0,22.0,4836.0,19.0
0.26,0.72,0.0,17.0,17.0,5468.0,19.0
0.3,0.6,0.06,21.0,9.0,4830.0,13.0
0.22,0.72,0.04,5.0,29.0,4576.0,23.0
0.88,0.1,0.0,15.0,16.0,4387.0,45.0
0.44,0.43,0.09,16.0,20.0,5345.0,21.0
0.52,0.4,0.0,9.0,23.0,5435.0,18.0
0.17,0.79,0.01,8.0,2.0,294.0,22.0
0.29,0.65,0.02,9.0,6.0,266.0,21.0
0.41,0.55,0.0,6.0,24.0,549.0,19.0
0.22,0.72,0.04,6.0,18.0,421.0,8.0
0.08,0.85,0.02,7.0,3.0,350.0,2.0
0.02,0.96,0.0,5.0,10.0,1195.0,15.0
0.39,0.49,0.08,5.0,13.0,1474.0,22.0
0.16,0.76,0.06,17.0,16.0,1460.0,12.0
0.12,0.81,0.04,5.0,5.0,1027.0,11.0
0.13,0.81,0.02,5.0,16.0,831.0,17.0
0.42,0.56,0.02,3.0,24.0,874.0,3.0
0.14,0.78,0.04,7.0,3.0,775.0,8.0
0.04,0.88,0.05,4.0,8.0,1050.0,7.0
0.0,0.88,0.08,11.0,6.0,705.0,15.0
0.0,0.91,0.02,16.0,10.0,214.0,11.0
0.01,0.81,0.16,7.0,5.0,815.0,11.0
0.0,0.9,0.07,11.0,13.0,259.0,16.0
0.01,0.8,0.15,10.0,13.0,2444.0,15.0
0.01,0.69,0.27,7.0,12.0,1104.0,9.0
0.0,0.75,0.23,7.0,15.0,548.0,28.0
0.0,0.9,0.08,8.0,2.0,409.0,20.0
0.21,0.66,0.07,7.0,23.0,5523.0,9.0
0.37,0.45,0.16,12.0,59.0,6502.0,33.0
0.09,0.77,0.05,11.0,39.0,3367.0,13.0
0.35,0.5,0.06,5.0,66.0,4551.0,34.0
0.28,0.59,0.09,17.0,40.0,5079.0,20.0
0.32,0.56,0.08,10.0,25.0,3861.0,8.0
0.09,0.83,0.04,10.0,68.0,3500.0,19.0
0.25,0.63,0.07,10.0,48.0,3055.0,16.0
0.56,0.35,0.03,0.0,34.0,6077.0,44.0
0.7,0.2,0.02,10.0,68.0,4804.0,49.0
0.46,0.31,0.16,3.0,77.0,6727.0,47.0
0.98,0.01,0.01,19.0,26.0,5257.0,28.0
0.48,0.32,0.12,14.0,55.0,3599.0,22.0
0.89,0.06,0.0,8.0,75.0,4423.0,33.0
0.44,0.47,0.07,4.0,28.0,4390.0,26.0
0.92,0.03,0.0,6.0,52.0,6142.0,63.0
0.84,0.13,0.02,10.0,29.0,5486.0,68.0
0.93,0.02,0.02,18.0,28.0,5306.0,38.0
0.91,0.02,0.01,13.0,62.0,4579.0,33.0
0.77,0.15,0.01,12.0,19.0,3752.0,28.0
0.92,0.06,0.02,15.0,6.0,5087.0,41.0
0.98,0.0,0.01,1.0,44.0,4080.0,51.0
0.88,0.05,0.05,12.0,35.0,4855.0,57.0
0.72,0.03,0.2,14.0,42.0,2539.0,37.0
0.89,0.05,0.04,9.0,45.0,3329.0,39.0
0.7,0.17,0.13,6.0,46.0,5070.0,35.0
0.36,0.42,0.1,12.0,2.0,2884.0,12.0
0.29,0.43,0.17,10.0,5.0,3058.0,14.0
0.26,0.59,0.09,9.0,1.0,538.0,4.0
0.21,0.6,0.04,8.0,3.0,587.0,5.0
0.2,0.56,0.07,6.0,3.0,1405.0,8.0
0.2,0.67,0.06,10.0,2.0,3071.0,10.0
0.22,0.57,0.07,14.0,4.0,4710.0,4.0
0.06,0.74,0.02,16.0,3.0,353.0,4.0
0.1,0.78,0.07,10.0,8.0,3433.0,7.0
0.15,0.71,0.06,9.0,21.0,3474.0,9.0
0.25,0.57,0.14,9.0,19.0,4767.0,12.0
0.42,0.52,0.03,11.0,19.0,2733.0,27.0
0.55,0.28,0.07,17.0,7.0,3498.0,27.0
0.66,0.18,0.07,25.0,8.0,3596.0,28.0
0.88,0.01,0.06,9.0,11.0,3565.0,21.0
0.64,0.3,0.03,0.0,0.0,2409.0,0.0
0.77,0.16,0.03,14.0,11.0,3182.0,23.0
0.89,0.05,0.02,9.0,4.0,3359.0,29.0
0.7,0.22,0.03,11.0,17.0,2670.0,25.0
0.87,0.06,0.02,10.0,8.0,2793.0,13.0
0.92,0.05,0.01,9.0,5.0,3216.0,21.0
0.16,0.58,0.13,,19.0,1080.0,4.0
0.07,0.58,0.22,0.0,0.0,292.0,12.0
0.39,0.52,0.03,11.0,80.0,7254.0,36.0
0.46,0.48,0.02,0.0,72.0,4539.0,26.0
0.26,0.52,0.12,5.0,68.0,5398.0,48.0
0.55,0.17,0.21,10.0,47.0,2251.0,36.0
0.3,0.62,0.04,4.0,5.0,532.0,8.0
0.1,0.87,0.02,4.0,10.0,764.0,11.0
0.04,0.89,0.04,4.0,6.0,913.0,5.0
0.46,0.44,0.06,3.0,17.0,1895.0,21.0
0.3,0.55,0.08,7.0,40.0,2233.0,30.0
0.78,0.11,0.05,3.0,5.0,1838.0,14.0
0.63,0.26,0.12,3.0,5.0,1314.0,9.0
0.46,0.42,0.04,2.0,29.0,650.0,21.0
0.61,0.3,0.09,4.0,13.0,954.0,30.0
0.22,0.69,0.03,11.0,10.0,364.0,15.0
0.4,0.51,0.01,3.0,5.0,512.0,13.0
0.44,0.43,0.03,2.0,1.0,1114.0,18.0
0.6,0.31,0.08,3.0,3.0,1146.0,17.0
0.05,0.83,0.03,3.0,2.0,1146.0,1.0
0.06,0.77,0.08,6.0,3.0,1409.0,19.0
0.04,0.87,0.03,4.0,6.0,1086.0,5.0
0.04,0.87,0.04,4.0,6.0,1123.0,4.0
0.02,0.93,0.01,5.0,10.0,502.0,4.0
0.05,0.79,0.12,3.0,13.0,923.0,2.0
0.2,0.78,0.0,3.0,12.0,255.0,18.0
0.14,0.73,0.09,4.0,4.0,915.0,11.0
0.18,0.76,0.01,4.0,9.0,651.0,13.0
0.22,0.77,0.0,4.0,27.0,477.0,9.0
0.06,0.84,0.06,6.0,0.0,1012.0,6.0
0.15,0.66,0.14,6.0,0.0,1018.0,3.0
0.08,0.84,0.03,6.0,1.0,536.0,3.0
0.01,0.95,0.01,7.0,7.0,114.0,5.0
0.25,0.58,0.11,9.0,5.0,1497.0,2.0
0.05,0.88,0.02,4.0,1.0,1154.0,8.0
0.16,0.7,0.04,9.0,0.0,1498.0,6.0
0.25,0.61,0.07,9.0,8.0,824.0,14.0
0.24,0.67,0.04,7.0,13.0,942.0,15.0
0.02,0.86,0.09,5.0,4.0,304.0,5.0
0.16,0.75,0.05,6.0,5.0,275.0,12.0
0.35,0.59,0.06,9.0,3.0,1453.0,9.0
0.11,0.76,0.07,4.0,6.0,767.0,8.0
0.15,0.79,0.02,5.0,3.0,697.0,4.0
0.41,0.46,0.06,3.0,0.0,801.0,8.0
0.34,0.58,0.05,4.0,0.0,902.0,9.0
0.41,0.5,0.01,6.0,2.0,1370.0,8.0
0.2,0.67,0.1,5.0,1.0,661.0,5.0
0.13,0.8,0.01,4.0,6.0,540.0,6.0
0.09,0.84,0.03,5.0,14.0,3242.0,2.0
0.27,0.68,0.01,5.0,8.0,2481.0,20.0
0.43,0.33,0.23,5.0,21.0,3514.0,25.0
0.39,0.37,0.22,5.0,9.0,4006.0,11.0
0.62,0.3,0.06,2.0,28.0,1630.0,41.0
0.86,0.12,0.0,4.0,17.0,2146.0,31.0
0.01,0.89,0.0,8.0,1.0,91.0,5.0
0.02,0.84,0.05,6.0,19.0,767.0,8.0
0.0,0.89,0.01,9.0,12.0,267.0,18.0
0.0,0.82,0.0,7.0,4.0,281.0,7.0
0.0,0.84,0.04,8.0,4.0,294.0,15.0
0.0,0.88,0.03,8.0,20.0,275.0,7.0
0.06,0.86,0.06,8.0,11.0,1851.0,13.0
0.06,0.79,0.12,7.0,17.0,3645.0,16.0
0.15,0.82,0.0,5.0,12.0,3381.0,22.0
0.06,0.84,0.06,5.0,14.0,1738.0,26.0
0.12,0.84,0.01,3.0,15.0,480.0,10.0
0.04,0.87,0.03,3.0,6.0,552.0,11.0
0.12,0.84,0.01,4.0,19.0,394.0,9.0
0.02,0.95,0.0,5.0,16.0,425.0,7.0
0.07,0.86,0.01,11.0,22.0,781.0,12.0
